Principal referral and womens and children's hospitals,Non-urgent,NSW,less_4hr_admitted,43.5364
Public acute group A hospitals,Resuscitation,NSW,less_4hr_admitted,32.3777
Public acute group A hospitals,Emergency,NSW,less_4hr_admitted,26.7786
Public acute group A hospitals,Urgent,NSW,less_4hr_admitted,20.1873
Public acute group A hospitals,Semi-urgent,NSW,less_4hr_admitted,24.9046
Public acute group A hospitals,Non-urgent,NSW,less_4hr_admitted,43.2067
Public acute group B hospitals,Resuscitation,NSW,less_4hr_admitted,22.9533
Public acute group B hospitals,Emergency,NSW,less_4hr_admitted,25.2313
Public acute group B hospitals,Urgent,NSW,less_4hr_admitted,22.8676
Public acute group B hospitals,Semi-urgent,NSW,less_4hr_admitted,27.7578
Public acute group B hospitals,Non-urgent,NSW,less_4hr_admitted,60.2754
Public acute group C hospitals,Resuscitation,NSW,less_4hr_admitted,23.1884
Public acute group C hospitals,Emergency,NSW,less_4hr_admitted,26.6735
Public acute group C hospitals,Urgent,NSW,less_4hr_admitted,31.1293
Public acute group C hospitals,Semi-urgent,NSW,less_4hr_admitted,37.3491
Public acute group C hospitals,Non-urgent,NSW,less_4hr_admitted,48.1786
All hospitals,Resuscitation,NSW,less_4hr_admitted,34.9805
All hospitals,Emergency,NSW,less_4hr_admitted,25.5013
All hospitals,Urgent,NSW,less_4hr_admitted,21.7256
All hospitals,Semi-urgent,NSW,less_4hr_admitted,26.8622
All hospitals,Non-urgent,NSW,less_4hr_admitted,48.8886
Principal referral and womens and children's hospitals,Resuscitation,VIC,less_4hr_admitted,53.8899
Principal referral and womens and children's hospitals,Emergency,VIC,less_4hr_admitted,39.6632
Principal referral and womens and children's hospitals,Urgent,VIC,less_4hr_admitted,42.7678
Principal referral and womens and children's hospitals,Semi-urgent,VIC,less_4hr_admitted,48.5517
Principal referral and womens and children's hospitals,Non-urgent,VIC,less_4hr_admitted,70.1097
Public acute group A hospitals,Resuscitation,VIC,less_4hr_admitted,38.685
Public acute group A hospitals,Emergency,VIC,less_4hr_admitted,32.1568
Public acute group A hospitals,Urgent,VIC,less_4hr_admitted,26.5365
Public acute group A hospitals,Semi-urgent,VIC,less_4hr_admitted,31.0118
Public acute group A hospitals,Non-urgent,VIC,less_4hr_admitted,43.7629
Public acute group B hospitals,Resuscitation,VIC,less_4hr_admitted,30.0477
Public acute group B hospitals,Emergency,VIC,less_4hr_admitted,38.0986
Public acute group B hospitals,Urgent,VIC,less_4hr_admitted,37.0817
Public acute group B hospitals,Semi-urgent,VIC,less_4hr_admitted,48.1639
Public acute group B hospitals,Non-urgent,VIC,less_4hr_admitted,51.6981
Public acute group C hospitals,Resuscitation,VIC,less_4hr_admitted,39.7436
Public acute group C hospitals,Emergency,VIC,less_4hr_admitted,38.6633
Public acute group C hospitals,Urgent,VIC,less_4hr_admitted,36.1951
Public acute group C hospitals,Semi-urgent,VIC,less_4hr_admitted,45.4198
Public acute group C hospitals,Non-urgent,VIC,less_4hr_admitted,70.2586
All hospitals,Resuscitation,VIC,less_4hr_admitted,45.7726
All hospitals,Emergency,VIC,less_4hr_admitted,36.5455
All hospitals,Urgent,VIC,less_4hr_admitted,34.7418
All hospitals,Semi-urgent,VIC,less_4hr_admitted,41.1646
All hospitals,Non-urgent,VIC,less_4hr_admitted,58.7513
Principal referral and womens and children's hospitals,Resuscitation,Qld,less_4hr_admitted,50.9034
Principal referral and womens and children's hospitals,Emergency,Qld,less_4hr_admitted,32.3256
Principal referral and womens and children's hospitals,Urgent,Qld,less_4hr_admitted,27.8401
Principal referral and womens and children's hospitals,Semi-urgent,Qld,less_4hr_admitted,31.025
Principal referral and womens and children's hospitals,Non-urgent,Qld,less_4hr_admitted,49.4373
Public acute group A hospitals,Resuscitation,Qld,less_4hr_admitted,30.376
Public acute group A hospitals,Emergency,Qld,less_4hr_admitted,30.9776
Public acute group A hospitals,Urgent,Qld,less_4hr_admitted,28.5193
Public acute group A hospitals,Semi-urgent,Qld,less_4hr_admitted,30.8292
Public acute group A hospitals,Non-urgent,Qld,less_4hr_admitted,44.4617
Public acute group B hospitals,Resuscitation,Qld,less_4hr_admitted,29.4412
Public acute group B hospitals,Emergency,Qld,less_4hr_admitted,41.8783
Public acute group B hospitals,Urgent,Qld,less_4hr_admitted,35.2766
Public acute group B hospitals,Semi-urgent,Qld,less_4hr_admitted,39.5628
Public acute group B hospitals,Non-urgent,Qld,less_4hr_admitted,48.3871
All hospitals,Resuscitation,Qld,less_4hr_admitted,41.6783
All hospitals,Emergency,Qld,less_4hr_admitted,33.0949
All hospitals,Urgent,Qld,less_4hr_admitted,29.3634
All hospitals,Semi-urgent,Qld,less_4hr_admitted,32.1313
All hospitals,Non-urgent,Qld,less_4hr_admitted,47.8421
Principal referral and womens and children's hospitals,Resuscitation,WA,less_4hr_admitted,48.0692
Principal referral and womens and children's hospitals,Emergency,WA,less_4hr_admitted,33.4629
Principal referral and womens and children's hospitals,Urgent,WA,less_4hr_admitted,18.8496
Principal referral and womens and children's hospitals,Semi-urgent,WA,less_4hr_admitted,19.7381
Principal referral and womens and children's hospitals,Non-urgent,WA,less_4hr_admitted,24.0157
Public acute group A hospitals,Resuscitation,WA,less_4hr_admitted,29.0719
Public acute group A hospitals,Emergency,WA,less_4hr_admitted,21.7147
Public acute group A hospitals,Urgent,WA,less_4hr_admitted,9.7506
Public acute group A hospitals,Semi-urgent,WA,less_4hr_admitted,10.1965
Public acute group A hospitals,Non-urgent,WA,less_4hr_admitted,17.7019
Public acute group B hospitals,Resuscitation,WA,less_4hr_admitted,32.1856
Public acute group B hospitals,Emergency,WA,less_4hr_admitted,34.3835
Public acute group B hospitals,Urgent,WA,less_4hr_admitted,23.7751
Public acute group B hospitals,Semi-urgent,WA,less_4hr_admitted,26.0313
Public acute group B hospitals,Non-urgent,WA,less_4hr_admitted,42.1941
Public acute group C hospitals,Resuscitation,WA,less_4hr_admitted,27.8431
Public acute group C hospitals,Emergency,WA,less_4hr_admitted,27.4623
Public acute group C hospitals,Urgent,WA,less_4hr_admitted,29.1925
Public acute group C hospitals,Semi-urgent,WA,less_4hr_admitted,35.438
Public acute group C hospitals,Non-urgent,WA,less_4hr_admitted,53.8306
All hospitals,Resuscitation,WA,less_4hr_admitted,41.6655
All hospitals,Emergency,WA,less_4hr_admitted,29.8391
All hospitals,Urgent,WA,less_4hr_admitted,18.1391
All hospitals,Semi-urgent,WA,less_4hr_admitted,20.6039
All hospitals,Non-urgent,WA,less_4hr_admitted,35.8889
Principal referral and womens and children's hospitals,Resuscitation,SA,less_4hr_admitted,43.5321
Principal referral and womens and children's hospitals,Emergency,SA,less_4hr_admitted,28.9356
Principal referral and womens and children's hospitals,Urgent,SA,less_4hr_admitted,24.0666
Principal referral and womens and children's hospitals,Semi-urgent,SA,less_4hr_admitted,33.4226
Principal referral and womens and children's hospitals,Non-urgent,SA,less_4hr_admitted,46.7532
Public acute group A hospitals,Resuscitation,SA,less_4hr_admitted,39.1671
Public acute group A hospitals,Emergency,SA,less_4hr_admitted,32.7837
Public acute group A hospitals,Urgent,SA,less_4hr_admitted,18.3385
Public acute group A hospitals,Semi-urgent,SA,less_4hr_admitted,17.8905
Public acute group A hospitals,Non-urgent,SA,less_4hr_admitted,24.3631
Public acute group B hospitals,Resuscitation,SA,less_4hr_admitted,41.8605
Public acute group B hospitals,Emergency,SA,less_4hr_admitted,34.243
Public acute group B hospitals,Urgent,SA,less_4hr_admitted,26.2893
Public acute group B hospitals,Semi-urgent,SA,less_4hr_admitted,27.5931
Public acute group B hospitals,Non-urgent,SA,less_4hr_admitted,55.1351
Public acute group C hospitals,Resuscitation,SA,less_4hr_admitted,43.932
Public acute group C hospitals,Emergency,SA,less_4hr_admitted,40.0356
Public acute group C hospitals,Urgent,SA,less_4hr_admitted,36.5331
Public acute group C hospitals,Semi-urgent,SA,less_4hr_admitted,39.1124
Public acute group C hospitals,Non-urgent,SA,less_4hr_admitted,61.039
